date,open,high,low,close,volume,price_change,price_change_pct,label
2021-02-05,36931.546875,38225.90625,36658.76171875,38144.30859375,58598066402,1212.76171875,3.2838097002943365,1
2021-02-06,38138.38671875,40846.546875,38138.38671875,39266.01171875,71326033653,1127.625,2.9566667523606207,1
2021-02-07,39250.19140625,39621.8359375,37446.15234375,38903.44140625,65500641143,-346.75,-0.8834351822926023,0
2021-02-08,38886.828125,46203.9296875,38076.32421875,46196.46484375,101467222687,7309.63671875,18.797204789378792,1
2021-02-09,46184.9921875,48003.72265625,45166.9609375,46481.10546875,91809846886,296.11328125,0.6411461109441159,1
2021-02-10,46469.76171875,47145.56640625,43881.15234375,44918.18359375,87301089896,-1551.578125,-3.3388983881403393,0
2021-02-11,44898.7109375,48463.46875,44187.76171875,47909.33203125,81388911810,3010.62109375,6.705361982309138,1
2021-02-12,47877.03515625,48745.734375,46424.9765625,47504.8515625,76555041196,-372.18359375,-0.777373938330461,0
2021-02-13,47491.203125,48047.74609375,46392.28125,47105.515625,70250456155,-385.6875,-0.8121240874543542,0
2021-02-14,47114.5078125,49487.640625,47114.5078125,48717.2890625,71248675228,1602.78125,3.4018847366049836,1
2021-02-15,48696.53515625,48875.5703125,46347.4765625,47945.05859375,77069903166,-751.4765625,-1.5431828159617043,0
2021-02-16,47944.45703125,50341.1015625,47201.3046875,49199.87109375,77049582886,1255.4140625,2.6184759203378323,1
2021-02-17,49207.27734375,52533.9140625,49072.37890625,52149.0078125,80820545404,2941.73046875,5.9782427062562125,1
2021-02-18,52140.97265625,52474.10546875,51015.765625,51679.796875,52054723579,-461.17578125,-0.8844786695683554,0
2021-02-19,51675.98046875,56113.65234375,50937.27734375,55888.1328125,63495496918,4212.15234375,8.151083550891142,1
2021-02-20,55887.3359375,57505.2265625,54626.55859375,56099.51953125,68145460026,212.18359375,0.3796631029027568,1
2021-02-21,56068.56640625,58330.5703125,55672.609375,57539.9453125,51897585191,1471.37890625,2.6242492015739938,1
2021-02-22,57532.73828125,57533.390625,48967.56640625,54207.3203125,92052420332,-3325.41796875,-5.780044663429063,0
2021-02-23,54204.9296875,54204.9296875,45290.58984375,48824.42578125,106102492824,-5380.50390625,-9.926226151882231,0
2021-02-24,48835.0859375,51290.13671875,47213.5,49705.33203125,63695521388,870.24609375,1.7820099566605785,1
2021-02-25,49709.08203125,51948.96875,47093.8515625,47093.8515625,54506565949,-2615.23046875,-5.261071743601934,0
2021-02-26,47180.46484375,48370.78515625,44454.84375,46339.76171875,350967941479,-840.703125,-1.7818881772025779,0
2021-02-27,46344.7734375,48253.26953125,45269.02734375,46188.453125,45910946382,-156.3203125,-0.3372986874362687,0
2021-02-28,46194.015625,46716.4296875,43241.6171875,45137.76953125,53443887451,-1056.24609375,-2.2865431365061153,0
2021-03-01,45159.50390625,49784.015625,45115.09375,49631.2421875,53891300112,4471.73828125,9.902097885161043,1
2021-03-02,49612.10546875,50127.51171875,47228.84375,48378.98828125,47530897720,-1233.1171875,-2.485516742031285,0
2021-03-03,48415.81640625,52535.13671875,48274.3203125,50538.2421875,53220811975,2122.42578125,4.383744690869276,1
2021-03-04,50522.3046875,51735.08984375,47656.9296875,48561.16796875,52343816680,-1961.13671875,-3.8817245786398487,0
2021-03-05,48527.03125,49396.4296875,46542.515625,48927.3046875,48625928883,400.2734375,0.824846332424261,1
2021-03-06,48899.23046875,49147.21875,47257.52734375,48912.3828125,34363564661,13.15234375,0.026896831757721135,1
2021-03-07,48918.6796875,51384.3671875,48918.6796875,51206.69140625,43137459378,2288.01171875,4.6771739003713275,1
2021-03-08,51174.1171875,52314.0703125,49506.0546875,52246.5234375,48597428048,1072.40625,2.0956028338910953,1
2021-03-09,52272.96875,54824.1171875,51981.83203125,54824.1171875,50912227385,2551.1484375,4.880435334945464,1
2021-03-10,54824.01171875,57258.25390625,53290.890625,56008.55078125,57295577614,1184.5390625,2.1606209129254283,1
2021-03-11,55963.1796875,58091.0625,54484.59375,57805.12109375,56772343595,1841.94140625,3.2913451603991297,1
2021-03-12,57821.21875,57996.62109375,55376.6484375,57332.08984375,55689944702,-489.12890625,-0.8459332349337587,0
2021-03-13,57343.37109375,61683.86328125,56217.97265625,61243.0859375,60669829814,3899.71484375,6.800637579144767,1
2021-03-14,61221.1328125,61597.91796875,59302.31640625,59302.31640625,43901225564,-1918.81640625,-3.1342386494655323,0
2021-03-15,59267.4296875,60540.9921875,55393.1640625,55907.19921875,66419369890,-3360.23046875,-5.669607213384354,0
2021-03-16,55840.78515625,56833.1796875,53555.02734375,56804.90234375,59749798599,964.1171875,1.7265466178569495,1
2021-03-17,56825.828125,58969.81640625,54528.62890625,58870.89453125,60258313191,2045.06640625,3.598832562107954,1
2021-03-18,58893.078125,60116.25,54253.578125,57858.921875,55746041000,-1034.15625,-1.755989469263286,0
2021-03-19,57850.44140625,59498.375,56643.703125,58346.65234375,49063873786,496.2109375,0.8577478847834527,1
2021-03-20,58332.26171875,60031.28515625,58213.296875,58313.64453125,50361731222,-18.6171875,-0.03191576488112717,0
2021-03-21,58309.9140625,58767.8984375,56005.6171875,57523.421875,51943414539,-786.4921875,-1.3488138340540021,0
2021-03-22,57517.890625,58471.48046875,54288.15625,54529.14453125,56521454974,-2988.74609375,-5.1962025402422345,0
